"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
1,"Lynch, Gerard E.","2009-04-02","2009-09-17","94–3","Barack Obama","2009-01-01","2009-09-18","2016-09-05","2018-02-23","Second Circuit","Appeals",8
2,"Davis, Andre M.","2009-04-02","2009-11-09","72–16","Barack Obama","2009-01-01","2009-11-10","2014-02-28","2017-08-31","Fourth Circuit","Appeals",10
3,"Hamilton, David","2009-03-17","2009-11-19","59–39","Barack Obama","2009-01-01","2009-11-23","2018-02-23","4712-12-31","Seventh Circuit","Appeals",10
4,"Martin, Beverly B.","2009-06-19","2010-01-20","97–0","Barack Obama","2009-01-01","2010-01-28","2018-02-23","4712-12-31","Eleventh Circuit","Appeals",12
5,"Greenaway, Jr., Joseph A.","2009-06-19","2010-02-09","84–0","Barack Obama","2009-01-01","2010-02-12","2018-02-23","4712-12-31","Third Circuit","Appeals",13
6,"Keenan, Barbara Milano","2009-09-14","2010-03-02","99–0","Barack Obama","2009-01-01","2010-03-09","2018-02-23","4712-12-31","Fourth Circuit","Appeals",14
7,"Thompson, O. Rogeriee","2009-10-06","2010-03-17","98–0","Barack Obama","2009-01-01","2010-03-30","2018-02-23","4712-12-31","First Circuit","Appeals",14
8,"Vanaskie, Thomas I.","2009-08-06","2010-04-21","77–20","Barack Obama","2009-01-01","2010-04-26","2018-02-23","4712-12-31","Third Circuit","Appeals",15
9,"Chin, Denny","2009-10-06","2010-04-22","98–0","Barack Obama","2009-01-01","2010-04-23","2018-02-23","4712-12-31","Second Circuit","Appeals",15
10,"Wynn, Jr., James A.","2009-11-04","2010-08-05","unanimous consent","Barack Obama","2009-01-01","2010-08-10","2018-02-23","4712-12-31","Fourth Circuit","Appeals",19
11,"Stranch, Jane Branstetter","2009-08-06","2010-09-13","71–21","Barack Obama","2009-01-01","2010-09-15","2018-02-23","4712-12-31","Sixth Circuit","Appeals",20
