"","duty_station1","lon","lat"
"1","Aberdeen MS USA",-86.80249,33.5206608
"2","Aberdeen SD USA",-87.5691735,33.2098407
"3","Abingdon VA USA",-86.902298,32.3182314
"4","AK USA",NA,NA
"5","Akron OH USA",-86.2999689,32.3668052
"6","AL USA",NA,NA
"7","Albany GA USA",-149.9002778,61.2180556
"8","Albany NY USA",NA,NA
"9","Albuquerque NM USA",NA,NA
"10","Alexandria LA USA",-112.0740373,33.4483771
"11","Alexandria VA USA",NA,NA
"12","Allentown PA USA",-92.2895948,34.7464809
"13","Amarillo TX USA",-94.3985475,35.3859242
"14","Anchorage AK USA",NA,NA
"15","Anderson SC USA",-94.1718542,36.082156
"16","Ann Arbor MI USA",-91.8318334,35.20105
"17","AR USA",-118.2436849,34.0522342
"18","Asheville NC USA",NA,NA
"19","Ashland KY USA",NA,NA
"20","Atlanta GA USA",NA,NA
"21","Augusta GA USA",-119.7725868,36.7468422
"22","Austin TX USA",-121.4943996,38.5815719
"23","AZ USA",-122.2711137,37.8043637
"24","Baltimore MD USA",-122.4194155,37.7749295
"25","Bangor ME USA",-121.8863286,37.3382082
"26","Baton Rouge LA USA",-117.1610838,32.715738
"27","Bay City MI USA",-104.990251,39.7392358
"28","Beaumont TX USA",-105.7820674,39.5500507
"29","Beckley WV USA",-75.5397878,39.7390721
"30","Billings MT USA",-75.5276699,38.9108325
"31","Binghamton NY USA",-77.0368707,38.9071923
"32","Birmingham AL USA",-77.0331936,38.929591
"33","Bismarck ND USA",NA,NA
"34","Bluefield WV USA",-87.2169149,30.421309
"35","Boise ID USA",NA,NA
"36","Boston MA USA",NA,NA
"37","Bowling Green KY USA",-82.3248262,29.6516344
"38","Brattleboro VT USA",-82.4571776,27.950575
"39","Bridgeport CT USA",NA,NA
"40","Brooklyn NY USA",-81.3792365,28.5383355
"41","Brownsville TX USA",-81.8723084,26.640628
"42","Brunswick GA USA",-82.1400923,29.1871986
"43","Buffalo NY USA",-80.1917902,25.7616798
"44","Burlington VT USA",-80.0533746,26.7153424
"45","CA USA",-80.1373174,26.1224386
"46","Camden NJ USA",-80.3256056,27.4467056
"47","Cape Girardeau MO USA",-84.3879824,33.7489954
"48","Casper WY USA",-82.9000751,32.1656221
"49","Cedar Rapids IA USA",-85.1646726,34.257038
"50","Central Islip NY USA",NA,NA
"51","Charleston SC USA",NA,NA
"52","Charleston WV USA",-84.155741,31.5785074
"53","Charlotte NC USA",-82.0105148,33.4734978
"54","Chattanooga TN USA",-81.4914894,31.1499528
"55","Cheyenne WY USA",NA,NA
