"","duty_station1","lon","lat"
"1","AK USA",-115.108745,36.242006
"2","AL USA",-86.902298,32.3182314
"3","Albany NY USA",-73.7562317,42.6525793
"4","Albuquerque NM USA",-106.6055534,35.0853336
"5","Alexandria VA USA",-77.0469214,38.8048355
"6","Anchorage AK USA",-149.9002778,61.2180556
"7","Asheville NC USA",-82.5514869,35.5950581
"8","Ashland KY USA",-82.6379387,38.4784144
"9","Atlanta GA USA",-84.3879824,33.7489954
"10","Austin TX USA",-100.7837392,46.8083268
"11","Bismarck ND USA",-116.2146068,43.6187102
"12","Boise ID USA",-71.0588801,42.3600825
"13","Boston MA USA",-73.1951767,41.1865478
"14","Bridgeport CT USA",-73.2017811,40.7906538
"15","Central Islip NY USA",-79.9310512,32.7764749
"16","Charleston SC USA",-104.8202462,41.1399814
"17","Cheyenne WY USA",-84.5120196,39.1031182
"18","Cincinnati OH USA",-81.6943605,41.49932
"19","Cleveland OH USA",-105.7820674,39.5500507
"20","CO USA",-81.0348144,34.0007104
"21","Columbia SC USA",-82.9987942,39.9611755
"22","Columbus OH USA",-97.396381,27.8005828
"23","Corpus Christi TX USA",-73.087749,41.6032207
"24","CT USA",-96.7969879,32.7766642
"25","Dallas TX USA",-79.3950228,36.5859718
"26","Danville VA USA",-90.5776367,41.5236437
"27","Davenport IA USA",-93.6091064,41.6005448
"28","Des Moines IA USA",-75.2207323,40.688432
"29","Easton PA USA",-106.4850217,31.7618778
"30","El Paso TX USA",-94.1718542,36.082156
"31","Fayetteville AR USA",-81.5157535,27.6648274
"32","FL USA",-79.7625625,34.1954331
"33","Florence SC USA",-91.0377029,33.399661
"34","Greenville MS USA",-77.3663538,35.612661
"35","Greenville NC USA",-87.5000412,41.5833688
"36","Hammond IN USA",-89.2903392,31.3271189
"37","Hattiesburg MS USA",-157.8583333,21.3069444
"38","Honolulu HI USA",-95.3698028,29.7604267
"39","Houston TX USA",-82.445154,38.4192496
"40","Huntington WV USA",-86.5861037,34.7303688
"41","Huntsville AL USA",-93.097702,41.8780025
"42","IA USA",-90.1848103,32.2987573
"43","Jackson MS USA",-88.8139469,35.6145169
"44","Jackson TN USA",-81.655651,30.3321838
"45","Jacksonville FL USA",-78.9219698,40.3267407
"46","Johnstown PA USA",-94.6274636,39.114053
"47","Kansas City KS USA",-83.9207392,35.9606384
"48","Knoxville TN USA",-98.4842465,39.011902
"49","KS USA",-118.2436849,34.0522342
"50","LA USA",-92.2895948,34.7464809
"51","Little Rock AR USA",-118.2436849,34.0522342
"52","Los Angeles CA USA",-98.2300124,26.2034071
"53","McAllen TX USA",-76.6412712,39.0457549
"54","MD USA",-87.9064736,43.0389025
"55","Milwaukee WI USA",-93.2650108,44.977753
"56","Minneapolis MN USA",-88.0398912,30.6953657
"57","Mobile AL USA",-92.1193012,32.5093109
"58","Monroe LA USA",-95.3696909,35.7478769
"59","Muskogee OK USA",-79.0192997,35.7595731
"60","NC USA",-76.3152105,43.4797914
"61","New Haven NY USA",-105.8700901,34.5199402
"62","NM USA",-74.0059728,40.7127753
"63","NY USA",-82.1400923,29.1871986
"64","Ocala FL USA",-82.907123,40.4172871
"65","OH USA",-81.3792365,28.5383355
"66","Orlando FL USA",-89.5192484,34.3664951
"67","Oxford MS USA",-75.1652215,39.9525839
"68","Philadelphia PA USA",-119.2844621,46.2856907
"69","Richland WA USA",-77.4360481,37.5407246
"70","Richmond VA USA",-79.9414266,37.2709704
"71","Roanoke VA USA",-72.9726065,43.6106237
"72","Rutland VT USA",-111.8910474,40.7607793
"73","Salt Lake City UT USA",-76.99079,38.9375843
"74","San Antonio D.C. USA",-97.7430608,30.267153
"75","San Francisco CA USA",-122.4194155,37.7749295
"76","San Jose CA USA",-121.8863286,37.3382082
"77","San Juan PR USA",-66.1057355,18.4655394
"78","Savannah GA USA",-81.0998342,32.0835407
"79","SC USA",-81.1637245,33.836081
"80","Sioux City IA USA",-96.4003069,42.4999942
"81","Syracuse NY USA",-76.1474244,43.0481221
"82","Tallahassee FL USA",-84.2807329,30.4382559
"83","TN USA",-86.5804473,35.5174913
"84","Topeka KS USA",-95.6890185,39.0558235
"85","Trenton NJ USA",-74.7429384,40.2170534
"86","Tulsa OK USA",-95.992775,36.1539816
"87","UT USA",-111.0937311,39.3209801
"88","White Plains NY USA",-73.7629097,41.0339862
"89","Wilkes-Barre PA USA",-75.8813075,41.2459149
"90","Winston-Salem NC USA",-80.244216,36.0998596
"91","Worcester MA USA",-71.8022934,42.2625932
"92","Youngstown OH USA",-80.6495194,41.0997803
