"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
1,"Viken, Jeffrey L.",2009-06-25,2009-09-29,"99–0","Barack Obama",2009-01-01,2009-09-30,2018-02-23,4712-12-31,"D.S.D.","District",8
2,"Lange, Roberto A.",2009-07-08,2009-10-21,"100–0","Barack Obama",2009-01-01,2009-10-21,2018-02-23,4712-12-31,"D.S.D.","District",9
3,"Berger, Irene C.",2009-07-08,2009-10-27,"97–0","Barack Obama",2009-01-01,2009-11-09,NA,4712-12-31,"S.D.W.Va.","District",10
4,"Honeywell, Charlene",2009-06-25,2009-11-09,"88–0","Barack Obama",2009-01-01,2009-11-12,2018-02-23,4712-12-31,"M.D. Fla.","District",10
5,"Reiss, Christina",2009-10-13,2009-11-21,"unanimous consent","Barack Obama",2009-01-01,2009-12-21,2018-02-23,4712-12-31,"D. Vt.","District",11
6,"Kallon, Abdul K.",2009-07-31,2009-11-21,"unanimous consent","Barack Obama",2009-01-01,2010-01-04,2018-02-23,4712-12-31,"N.D. Ala.","District",12
7,"Nguyen, Jacqueline H.",2009-07-31,2009-12-01,"97–0","Barack Obama",2009-01-01,2009-12-04,2012-05-14,NA,"C.D. Cal.","District",11
8,"Seeborg, Richard G.",2009-08-06,2009-12-24,"unanimous consent","Barack Obama",2009-01-01,2010-01-04,2018-02-23,4712-12-31,"N.D. Cal.","District",12
9,"Gee, Dolly M.",2009-08-06,2009-12-24,"unanimous consent","Barack Obama",2009-01-01,2010-01-04,2018-02-23,4712-12-31,"C.D. Cal.","District",12
10,"Peterson, Rosanna M.",2009-10-13,2010-01-25,"89–0","Barack Obama",2009-01-01,2010-01-26,2018-02-23,4712-12-31,"E.D. Wash.","District",12
11,"Conley, William M.",2009-10-29,2010-03-04,"99–0","Barack Obama",2009-01-01,2010-03-25,2018-02-23,4712-12-31,"W.D. Wis.","District",14
12,"Navarro, Gloria",2009-12-24,2010-05-05,"98–0","Barack Obama",2009-01-01,2010-05-06,2018-02-23,4712-12-31,"D. Nev.","District",16
13,"Freudenthal, Nancy D.",2009-12-03,2010-05-05,"96–1","Barack Obama",2009-01-01,2010-05-06,2018-02-23,4712-12-31,"D. Wyo.","District",16
14,"Marshall Jr., D. Price",2009-12-03,2010-05-05,"voice vote","Barack Obama",2009-01-01,2010-05-06,2018-02-23,4712-12-31,"E.D. Ark.","District",16
15,"Black, Timothy",2009-12-24,2010-05-11,"voice vote","Barack Obama",2009-01-01,2010-05-13,2018-02-23,4712-12-31,"S.D. Ohio","District",16
16,"DeGuilio, Jon",2010-01-20,2010-05-11,"voice vote","Barack Obama",2009-01-01,2010-05-13,2018-02-23,4712-12-31,"N.D. Ind.","District",16
17,"Fleissig, Audrey G.",2010-01-20,2010-06-07,"90–0","Barack Obama",2009-01-01,2010-06-09,2018-02-23,4712-12-31,"E.D. Mo.","District",17
18,"Koh, Lucy H.",2010-01-20,2010-06-07,"90–0","Barack Obama",2009-01-01,2010-06-09,2018-02-23,4712-12-31,"N.D. Cal.","District",17
19,"Magnus-Stinson, Jane",2010-01-20,2010-06-07,"voice vote","Barack Obama",2009-01-01,2010-06-09,2018-02-23,4712-12-31,"S.D. Ind.","District",17
20,"Pratt, Tanya Walton",2010-01-20,2010-06-15,"95–0","Barack Obama",2009-01-01,2010-06-15,2018-02-23,4712-12-31,"S.D. Ind.","District",17
21,"Jackson, Brian Anthony",2009-10-29,2010-06-15,"96–0","Barack Obama",2009-01-01,2010-06-15,2018-02-23,4712-12-31,"M.D. La.","District",17
22,"Foote, Elizabeth Erny",2010-02-04,2010-06-15,"voice vote","Barack Obama",2009-01-01,2010-06-15,2018-02-23,4712-12-31,"W.D. La.","District",17
23,"Goldsmith, Mark A.",2010-02-04,2010-06-21,"89–0","Barack Obama",2009-01-01,2010-06-22,2018-02-23,4712-12-31,"E.D. Mich.","District",17
24,"Treadwell, Marc Thomas",2010-02-04,2010-06-21,"89–0","Barack Obama",2009-01-01,2010-06-22,2018-02-23,4712-12-31,"M.D. Ga.","District",17
25,"Staton, Josephine L.",2010-02-04,2010-06-21,"voice vote","Barack Obama",2009-01-01,2010-06-22,2018-02-23,4712-12-31,"C.D. Cal.","District",17
26,"Feinerman, Gary",2010-02-24,2010-06-28,"80–0","Barack Obama",2009-01-01,2010-06-29,2018-02-23,4712-12-31,"N.D. Ill.","District",17
27,"Johnson Coleman, Sharon",2010-02-24,2010-07-12,"86–0","Barack Obama",2009-01-01,2010-07-13,2018-02-23,4712-12-31,"N.D. Ill.","District",18
28,"Childs, J. Michelle",2009-12-22,2010-08-05,"unanimous consent","Barack Obama",2009-01-01,2010-08-20,2018-02-23,4712-12-31,"D.S.C.","District",19
29,"Gergel, Richard Mark",2009-12-22,2010-08-05,"unanimous consent","Barack Obama",2009-01-01,2010-08-09,2018-02-23,4712-12-31,"D.S.C.","District",19
