state,Appeals,Supreme Court
D.C.,DC Circuit,Chief Justice Roberts
AR,Eighth Circuit,Justice Gorsuch
IA,Eighth Circuit,Justice Gorsuch
MN,Eighth Circuit,Justice Gorsuch
MO,Eighth Circuit,Justice Gorsuch
ND,Eighth Circuit,Justice Gorsuch
NE,Eighth Circuit,Justice Gorsuch
SD,Eighth Circuit,Justice Gorsuch
AL,Eleventh Circuit,Justice Thomas
FL,Eleventh Circuit,Justice Thomas
GA,Eleventh Circuit,Justice Thomas
DC,Federal Circuit,Chief Justice Roberts
LA,Fifth Circuit,Justice Alito
MS,Fifth Circuit,Justice Alito
TX,Fifth Circuit,Justice Alito
MA,First Circuit,Justice Alito
ME,First Circuit,Justice Alito
NH,First Circuit,Justice Breyer
PR,First Circuit,Justice Breyer
RI,First Circuit,Justice Breyer
MD,Fourth Circuit,Chief Justice Roberts
NC,Fourth Circuit,Chief Justice Roberts
SC,Fourth Circuit,Chief Justice Roberts
VA,Fourth Circuit,Chief Justice Roberts
WV,Fourth Circuit,Chief Justice Roberts
AK,Ninth Circuit,Justice Kennedy
AZ,Ninth Circuit,Justice Kennedy
CA,Ninth Circuit,Justice Kennedy
HI,Ninth Circuit,Justice Kennedy
ID,Ninth Circuit,Justice Kennedy
MT,Ninth Circuit,Justice Kennedy
NV,Ninth Circuit,Justice Kennedy
OR,Ninth Circuit,Justice Kennedy
WA,Ninth Circuit,Justice Kennedy
CT,Second Circuit,Justice Ginsburg
NY,Second Circuit,Justice Ginsburg
VT,Second Circuit,Justice Ginsburg
IL,Seventh Circuit,Justice Kagan
IN,Seventh Circuit,Justice Kagan
WI,Seventh Circuit,Justice Kagan
KY,Sixth Circuit,Justice Kagan
MI,Sixth Circuit,Justice Kagan
OH,Sixth Circuit,Justice Kagan
TN,Sixth Circuit,Justice Kagan
CO,Tenth Circuit,Justice Sotomayor
KS,Tenth Circuit,Justice Sotomayor
NM,Tenth Circuit,Justice Sotomayor
OK,Tenth Circuit,Justice Sotomayor
UT,Tenth Circuit,Justice Sotomayor
WY,Tenth Circuit,Justice Sotomayor
DC,Third Circuit,Justice Alito
DE,Third Circuit,Justice Alito
NJ,Third Circuit,Justice Alito
PA,Third Circuit,Justice Alito
