"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
1,"Gregory, Roger","2001-05-09","2001-07-20",NA,"George W. Bush","2001-01-01","2000-12-27","2018-01-10",NA,"Fourth","District",0
2,"Riley, William J.","2001-05-23","2001-08-02",NA,"George W. Bush","2001-01-01","2001-08-03","2017-06-30","2018-01-10","Eighth","District",7
3,"Prost, Sharon","2001-09-04","2001-09-21",NA,"George W. Bush","2001-01-01","2001-09-24","2018-01-10",NA,"Fed. Cir.","District",8
4,"Parker, Barrington","2001-09-04","2001-10-11","100-0","George W. Bush","2001-01-01","2001-10-16","2009-10-10","2018-01-10","Second","District",9
5,"Clement, Edith Brown","2001-09-04","2001-11-13",NA,"George W. Bush","2001-01-01","2001-11-26","2018-01-10",NA,"Fifth","District",10
6,"Hartz, Harris","2001-09-04","2001-12-06",NA,"George W. Bush","2001-01-01","2001-12-10","2018-01-10",NA,"Tenth","District",11
7,"Melloy, Michael Joseph","2001-09-04","2002-02-11",NA,"George W. Bush","2001-01-01","2002-02-14","2013-02-01","2018-01-10","Eighth","District",13
8,"O'Brien, Terrence L.","2001-09-04","2002-04-15",NA,"George W. Bush","2001-01-01","2002-04-16","2013-04-30","2018-01-10","Tenth","District",15
9,"Howard, Jeffrey R.","2001-09-04","2002-04-23",NA,"George W. Bush","2001-01-01","2002-05-03","2018-01-10",NA,"First","District",16
10,"Smith, Lavenski","2001-09-04","2002-07-15",NA,"George W. Bush","2001-01-01","2002-07-19","2018-01-10",NA,"Eighth","District",18
11,"Clifton, Richard","2001-09-04","2002-07-18",NA,"George W. Bush","2001-01-01","2002-07-30","2016-12-31","2018-01-10","Ninth","District",18
12,"Gibbons, Julia Smith","2001-10-09","2002-07-29",NA,"George W. Bush","2001-01-01","2002-07-31","2018-01-10",NA,"Sixth","District",18
13,"Smith, D. Brooks","2001-09-10","2002-07-31",NA,"George W. Bush","2001-01-01","2002-08-02","2018-01-10",NA,"Third","District",19
14,"Raggi, Reena","2002-05-01","2002-09-20",NA,"George W. Bush","2001-01-01","2002-10-04","2018-01-10",NA,"Second","District",21
15,"Rogers, John M.","2001-12-19","2002-11-14",NA,"George W. Bush","2001-01-01","2002-11-26","2018-01-10",NA,"Sixth","District",22
16,"McConnell, Michael W.","2001-09-04","2002-11-15",NA,"George W. Bush","2001-01-01","2002-11-26","2009-08-31",NA,"Tenth","District",22
17,"Shedd, Dennis","2001-09-04","2002-11-19",NA,"George W. Bush","2001-01-01","2002-11-26","2018-01-10",NA,"Fourth","District",22
18,"Bybee, Jay","2003-01-07","2003-03-13",NA,"George W. Bush","2001-01-01","2003-03-21","2018-01-10",NA,"Ninth","District",26
19,"Tymkovich, Timothy","2003-01-07","2003-04-01",NA,"George W. Bush","2001-01-01","2003-04-01","2018-01-10",NA,"Tenth","District",27
20,"Sutton, Jeffrey","2003-01-07","2003-04-29",NA,"George W. Bush","2001-01-01","2003-05-05","2018-01-10",NA,"Sixth","District",28
21,"Prado, Edward C.","2003-02-06","2003-05-01",NA,"George W. Bush","2001-01-01","2003-05-05","2018-01-10",NA,"Fifth","District",28
22,"Cook, Deborah L.","2003-01-07","2003-05-05",NA,"George W. Bush","2001-01-01","2003-05-07","2018-01-10",NA,"Sixth","District",28
23,"Roberts, John","2003-01-07","2003-05-08",NA,"George W. Bush","2001-01-01","2003-06-02","2005-09-29",NA,"D.C. Cir.","District",29
24,"Callahan, Consuelo","2003-02-12","2003-05-22",NA,"George W. Bush","2001-01-01","2003-05-28","2018-01-10",NA,"Ninth","District",28
25,"Chertoff, Michael","2003-03-05","2003-06-09",NA,"George W. Bush","2001-01-01","2003-06-10","2005-02-15",NA,"Third","District",29
26,"Wesley, Richard C.","2003-03-05","2003-06-11",NA,"George W. Bush","2001-01-01","2003-06-12","2016-08-01","2018-01-10","Second","District",29
27,"Duncan, Allyson Kay","2003-03-28","2003-07-17",NA,"George W. Bush","2001-01-01","2003-08-15","2018-01-10",NA,"Fourth","District",31
28,"Colloton, Steven","2003-02-12","2003-09-04",NA,"George W. Bush","2001-01-01","2003-09-10","2018-01-10",NA,"Eighth","District",32
29,"Bea, Carlos","2003-04-11","2003-09-29",NA,"George W. Bush","2001-01-01","2003-10-01","2018-01-10",NA,"Ninth","District",33
30,"Fisher, D. Michael","2003-05-01","2003-12-09",NA,"George W. Bush","2001-01-01","2003-12-11","2017-02-01","2018-01-10","Third","District",35
31,"Pickering, Charles W.",NA,NA,NA,"George W. Bush","2001-01-01","2004-01-16","2004-12-08",NA,"Fifth","District",36
32,"Pryor Jr., William H.","2005-02-14","2005-06-09",NA,"George W. Bush","2001-01-01","2004-02-20","2018-01-10",NA,"Eleventh","District",37
