"Judge#","Title","Judge","Duty.station","Born","Active","Chief","Senior","Appointed.by","circuit","name","gender","ActiveStartYear","ActiveEndYear","currActive","yrsActive","ChiefStartYear","ChiefEndYear","currChief","yrsChief","SeniorStartYear","SeniorEndYear","currSenior","yrsSenior","pres_start_year","yrOfPresidency"
"29","Chief Judge","Jeffrey R. Howard","Concord, NH","1955","2002–present","2015–present","—","G.W. Bush","First Circuit","Jeffrey","male","2002","2018","Y",16,"2015","2018","Y",3,"","","N",0,"2001",1
"21","Circuit Judge","Juan R. Torruella","San Juan, PR","1933","1984–present","1994–2001","—","Reagan","First Circuit","Juan","male","1984","2018","Y",34,"1994","2001","N",7,"","","N",0,"1981",3
"27","Circuit Judge","Sandra Lynch","Boston, MA","1946","1995–present","2008–2015","—","Clinton","First Circuit","Sandra","female","1995","2018","Y",23,"2008","2015","N",7,"","","N",0,"1993",2
"30","Circuit Judge","O. Rogeriee Thompson","Providence, RI","1951","2010–present","—","—","Obama","First Circuit","Rogeriee","female","2010","2018","Y",8,"","","N",0,"","","N",0,"2009",1
"31","Circuit Judge","William J. Kayatta Jr.","Portland, ME","1953","2013–present","—","—","Obama","First Circuit","William","male","2013","2018","Y",5,"","","N",0,"","","N",0,"2009",4
"32","Circuit Judge","David Jeremiah Barron","Boston, MA","1967","2014–present","—","—","Obama","First Circuit","David","male","2014","2018","Y",4,"","","N",0,"","","N",0,"2009",5
"18","Senior Circuit Judge","Levin H. Campbell","inactive","1927","1972–1992","1983–1990","1992–present","Nixon","First Circuit","Levin","male","1972","1992","N",20,"1983","1990","N",7,"1992","2018","Y",26,"1969",3
"22","Senior Circuit Judge","Bruce M. Selya","Providence, RI","1934","1986–2006","—","2006–present","Reagan","First Circuit","Bruce","male","1986","2006","N",20,"","","N",0,"2006","2018","Y",12,"1981",5
"25","Senior Circuit Judge","Michael Boudin","inactive","1939","1992–2013","2001–2008","2013–present","G.H.W. Bush","First Circuit","Michael","male","1992","2013","N",21,"2001","2008","N",7,"2013","2018","Y",5,"1989",3
"26","Senior Circuit Judge","Norman H. Stahl","Boston, MA","1931","1992–2001","—","2001–present","G.H.W. Bush","First Circuit","Norman","male","1992","2001","N",9,"","","N",0,"2001","2018","Y",17,"1989",3
"28","Senior Circuit Judge","Kermit Lipez","Portland, ME","1941","1998–2011","—","2011–present","Clinton","First Circuit","Kermit","male","1998","2011","N",13,"","","N",0,"2011","2018","Y",7,"1993",5
"59","Chief Judge","Robert Katzmann","New York, NY","1953","1999–present","2013–present","—","Clinton","Second Circuit","Robert","male","1999","2018","Y",19,"2013","2018","Y",5,"","","N",0,"1993",6
"50","Circuit Judge","Dennis Jacobs","New York, NY","1944","1992–present","2006–2013","—","G.H.W. Bush","Second Circuit","Dennis","male","1992","2018","Y",26,"2006","2013","N",7,"","","N",0,"1989",3
"53","Circuit Judge","José A. Cabranes","New Haven, CT","1940","1994–present","—","—","Clinton","Second Circuit","José","male","1994","2018","Y",24,"","","N",0,"","","N",0,"1993",1
"55","Circuit Judge","Rosemary S. Pooler","Syracuse, NY","1938","1998–present","—","—","Clinton","Second Circuit","Rosemary","female","1998","2018","Y",20,"","","N",0,"","","N",0,"1993",5
"61","Circuit Judge","Reena Raggi","Brooklyn, NY","1951","2002–present","—","—","G.W. Bush","Second Circuit","Reena","female","2002","2018","Y",16,"","","N",0,"","","N",0,"2001",1
"63","Circuit Judge","Peter W. Hall","Rutland, VT","1948","2004–present","—","—","G.W. Bush","Second Circuit","Peter","male","2004","2018","Y",14,"","","N",0,"","","N",0,"2001",3
"64","Circuit Judge","Debra Ann Livingston","New York, NY","1959","2007–present","—","—","G.W. Bush","Second Circuit","Debra","female","2007","2018","Y",11,"","","N",0,"","","N",0,"2001",6
"66","Circuit Judge","Denny Chin","New York, NY","1954","2010–present","—","—","Obama","Second Circuit","Denny","male","2010","2018","Y",8,"","","N",0,"","","N",0,"2009",1
"67","Circuit Judge","Raymond Lohier","New York, NY","1965","2010–present","—","—","Obama","Second Circuit","Raymond","male","2010","2018","Y",8,"","","N",0,"","","N",0,"2009",1
"68","Circuit Judge","Susan L. Carney","New Haven, CT","1951","2011–present","—","—","Obama","Second Circuit","Susan","female","2011","2018","Y",7,"","","N",0,"","","N",0,"2009",2
"69","Circuit Judge","Christopher F. Droney","Hartford, CT","1954","2011–present","—","—","Obama","Second Circuit","Christopher","male","2011","2018","Y",7,"","","N",0,"","","N",0,"2009",2
"70","Circuit Judge","vacant","—","—","—","—","—","—","Second Circuit","vacant",NA,"","","N",0,"","","N",0,"","","N",0,"0",NA
