"","duty_station1","lon","lat"
"1","Aberdeen MS USA",-88.5436553,33.8251139
"2","Aberdeen SD USA",-98.4864829,45.4646985
"3","Abingdon VA USA",-81.9773482,36.7098335
"4","AK USA",-115.108745,36.242006
"5","Akron OH USA",-81.5190053,41.0814447
"6","AL USA",-86.902298,32.3182314
"7","Albany GA USA",-84.155741,31.5785074
"8","Albany NY USA",-73.7562317,42.6525793
"9","Albuquerque NM USA",-106.6055534,35.0853336
"10","Alexandria LA USA",-92.4451371,31.3112936
"11","Alexandria VA USA",-77.0469214,38.8048355
"12","Allentown PA USA",-75.4901833,40.6084305
"13","Amarillo TX USA",-101.8312969,35.2219971
"14","Anchorage AK USA",-149.9002778,61.2180556
"15","Anderson SC USA",-82.6501332,34.5034394
"16","Ann Arbor MI USA",-83.7430378,42.2808256
"17","AR USA",-91.8318334,35.20105
"18","Asheville NC USA",-82.5514869,35.5950581
"19","Ashland KY USA",-82.6379387,38.4784144
"20","Atlanta GA USA",-84.3879824,33.7489954
"21","Augusta GA USA",-82.0105148,33.4734978
"22","Austin TX USA",-97.7430608,30.267153
"23","AZ USA",-111.0937311,34.0489281
"24","Baltimore MD USA",-76.6121893,39.2903848
"25","Bangor ME USA",-68.7778138,44.8011821
"26","Baton Rouge LA USA",-91.1403196,30.4582829
"27","Bay City MI USA",-83.8888647,43.5944677
"28","Beaumont TX USA",-94.1265562,30.080174
"29","Beckley WV USA",-81.1881557,37.7781702
"30","Billings MT USA",-108.5006904,45.7832856
"31","Binghamton NY USA",-75.9179738,42.0986867
"32","Birmingham AL USA",-86.80249,33.5206608
"33","Bismarck ND USA",-100.7837392,46.8083268
"34","Bluefield WV USA",-81.2223195,37.2698395
"35","Boise ID USA",-116.2146068,43.6187102
"36","Boston MA USA",-71.0588801,42.3600825
"37","Bowling Green KY USA",-86.4808043,36.9685219
"38","Brattleboro VT USA",-72.5578678,42.8509152
"39","Bridgeport CT USA",-73.1951767,41.1865478
"40","Brooklyn NY USA",-73.9441579,40.6781784
"41","Brownsville TX USA",-97.4974838,25.9017472
"42","Brunswick GA USA",-81.4914894,31.1499528
"43","Buffalo NY USA",-78.8783689,42.8864468
"44","Burlington VT USA",-73.212072,44.4758825
"45","CA USA",-119.4179324,36.778261
"46","Camden NJ USA",-75.1196199,39.9259463
"47","Cape Girardeau MO USA",-89.5181476,37.3058839
"48","Casper WY USA",-106.313081,42.866632
"49","Cedar Rapids IA USA",-91.6656232,41.9778795
"50","Central Islip NY USA",-73.2017811,40.7906538
"51","Charleston SC USA",-79.9310512,32.7764749
"52","Charleston WV USA",-81.6326234,38.3498195
"53","Charlotte NC USA",-80.8431267,35.2270869
"54","Chattanooga TN USA",-85.3096801,35.0456297
"55","Cheyenne WY USA",-104.8202462,41.1399814
"56","Chicago IL USA",-87.6297982,41.8781136
"57","Cincinnati OH USA",-84.5120196,39.1031182
"58","CincinnatiColumbus OH USA",-84.3420943,39.0754623
"59","CincinnatiDayton OH USA",-84.3692847,39.3984826
"60","Clarksburg WV USA",-80.3445341,39.2806451
"61","Cleveland OH USA",-81.6943605,41.49932
"62","CO USA",-105.7820674,39.5500507
"63","Columbia SC USA",-81.0348144,34.0007104
"64","Columbus GA USA",-84.9877094,32.4609764
"65","Columbus OH USA",-82.9987942,39.9611755
"66","Concord NH USA",-71.5375718,43.2081366
"67","Corpus Christi TX USA",-97.396381,27.8005828
"68","Covington KY USA",-84.5085536,39.0836712
"69","CT USA",-73.087749,41.6032207
"70","D.C. USA",-77.0331936,38.929591
"71","Dallas TX USA",-96.7969879,32.7766642
"72","Danville VA USA",-79.3950228,36.5859718
"73","Davenport IA USA",-90.5776367,41.5236437
"74","Dayton OH USA",-84.1916069,39.7589478
"75","DE USA",-75.5276699,38.9108325
"76","Del Rio TX USA",-100.8958674,29.3708857
"77","Denver CO USA",-104.990251,39.7392358
"78","Des Moines IA USA",-93.6091064,41.6005448
"79","Detroit MI USA",-83.0457538,42.331427
"80","East St. Louis IL USA",-90.1506465,38.624514
"81","Easton PA USA",-75.2207323,40.688432
"82","El Dorado AR USA",-92.6662674,33.20763
"83","El Paso TX USA",-106.4850217,31.7618778
"84","Elizabeth City NC USA",-76.2510461,36.2946008
"85","Eugene OR USA",-123.0867536,44.0520691
"86","Evansville IN USA",-87.5710898,37.9715592
"87","Fayetteville AR USA",-94.1718542,36.082156
"88","FL USA",-81.5157535,27.6648274
"89","Florence SC USA",-79.7625625,34.1954331
"90","Fort Smith AR USA",-94.3985475,35.3859242
"91","Fort Wayne IN USA",-85.1393513,41.079273
"92","Fort Worth TX USA",-97.3307658,32.7554883
"93","Frankfort KY USA",-84.8732835,38.2009055
"94","Fresno CA USA",-119.7725868,36.7468422
"95","Ft. Lauderdale FL USA",-80.1373174,26.1224386
"96","Ft. Myers FL USA",-81.8723084,26.640628
"97","Ft. Pierce FL USA",-80.3256056,27.4467056
"98","GA USA",-82.9000751,32.1656221
"99","Gainesville FL USA",-82.3248262,29.6516344
"100","Galveston TX USA",-94.7976958,29.3013479
"101","Grand Rapids MI USA",-85.6680863,42.9633599
"102","Great Falls MT USA",-111.2833449,47.4941836
"103","Green Bay WI USA",-88.019826,44.519159
"104","Greenbelt MD USA",-76.8755282,39.0045544
"105","Greeneville TN USA",-82.8309861,36.1631574
"106","Greensboro NC USA",-79.7919754,36.0726354
"107","Greenville MS USA",-91.0377029,33.399661
"108","Greenville NC USA",-77.3663538,35.612661
"109","Greenville SC USA",-82.3940104,34.8526176
"110","Gulfport MS USA",-89.0928155,30.3674198
"111","Hammond IN USA",-87.5000412,41.5833688
"112","Harrisburg PA USA",-76.8867008,40.2731911
"113","Hartford CT USA",-72.6850932,41.7637111
"114","Hattiesburg MS USA",-89.2903392,31.3271189
"115","Helena MT USA",-112.0245054,46.5883707
"116","HI USA",-77.0316578,38.9949446
"117","Honolulu HI USA",-157.8583333,21.3069444
"118","Houston TX USA",-95.3698028,29.7604267
"119","Huntington WV USA",-82.445154,38.4192496
"120","Huntsville AL USA",-86.5861037,34.7303688
"121","IA USA",-93.097702,41.8780025
"122","IL USA",-89.3985283,40.6331249
"123","IN USA",-95.712891,37.09024
"124","Indianapolis IN USA",-86.158068,39.768403
"125","Jackson MS USA",-90.1848103,32.2987573
"126","Jackson TN USA",-88.8139469,35.6145169
"127","Jacksonville FL USA",-81.655651,30.3321838
"128","Jefferson City MO USA",-92.1735164,38.5767017
"129","Johnstown PA USA",-78.9219698,40.3267407
"130","Kalamazoo MI USA",-85.5872286,42.2917069
"131","Kansas City KS USA",-94.6274636,39.114053
"132","Kansas City MO USA",-94.5785667,39.0997265
"133","Knoxville TN USA",-83.9207392,35.9606384
"134","KS USA",-98.4842465,39.011902
"135","KY USA",-84.2700179,37.8393332
"136","LA USA",-118.2436849,34.0522342
"137","Lafayette LA USA",-92.0198427,30.2240897
"138","Lake Charles LA USA",-93.2173758,30.2265949
"139","Laredo TX USA",-99.4803241,27.5305671
"140","Las Cruces NM USA",-106.7636538,32.3199396
"141","Las Vegas NV USA",-115.1398296,36.1699412
"142","Lexington KY USA",-84.5037164,38.0405837
"143","Lincoln NE USA",-96.6851982,40.8257625
"144","Little Rock AR USA",-92.2895948,34.7464809
"145","Los Angeles CA USA",-118.2436849,34.0522342
"146","Louis IL USA",-90.1506465,38.624514
"147","Louisville KY USA",-85.7584557,38.2526647
"148","Lubbock TX USA",-101.8551665,33.5778631
"149","Lynchburg VA USA",-79.1422464,37.4137536
"150","MA USA",-71.3824374,42.4072107
"151","Macon GA USA",-83.6324022,32.8406946
"152","Madison WI USA",-89.4012302,43.0730517
"153","Marshall TX USA",-94.3674184,32.5448714
"154","Martinsburg WV USA",-77.9638869,39.4562099
"155","McAllen TX USA",-98.2300124,26.2034071
"156","MD USA",-76.6412712,39.0457549
"157","ME USA",-69.4454689,45.253783
"159","Memphis TN USA",-90.0489801,35.1495343
"160","MI USA",-85.6023643,44.3148443
"161","Miami FL USA",-80.1917902,25.7616798
"162","Midland TX USA",-102.0779146,31.9973456
"163","Milwaukee WI USA",-87.9064736,43.0389025
"164","Minneapolis MN USA",-93.2650108,44.977753
"165","Missoula MT USA",-113.996586,46.8787176
"166","MN USA",-94.6858998,46.729553
"167","MO USA",-91.8318334,37.9642529
"168","Mobile AL USA",-88.0398912,30.6953657
"169","Monroe LA USA",-92.1193012,32.5093109
"170","Montgomery AL USA",-86.2999689,32.3668052
"171","Muskogee OK USA",-95.3696909,35.7478769
"172","Nashville TN USA",-86.7816016,36.1626638
"173","Natchez MS USA",-91.403171,31.5604442
"174","NC USA",-79.0192997,35.7595731
"175","ND USA",-101.0020119,47.5514926
"176","New Bern NC USA",-77.0441143,35.108493
"177","New Haven CT USA",-72.9278835,41.308274
"178","New Haven NY USA",-76.3152105,43.4797914
"179","New Orleans LA USA",-90.0715323,29.9510658
"180","New York City NY USA",-74.0059728,40.7127753
"181","Newark NJ USA",-74.1723667,40.735657
"182","NJ USA",-74.4056612,40.0583238
"183","NM USA",-105.8700901,34.5199402
"184","None MO USA",-94.1574261,36.0625795
"185","Norfolk VA USA",-76.2858726,36.8507689
"186","Norwalk LA USA",-118.081733,33.9022367
"187","NV USA",-116.419389,38.8026097
"188","NY USA",-74.0059728,40.7127753
"189","Oakland CA USA",-122.2711137,37.8043637
"190","Ocala FL USA",-82.1400923,29.1871986
"191","OH USA",-82.907123,40.4172871
"192","OK USA",-97.092877,35.0077519
