"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","President","Congress","ABA_Rating"
"02/01/17","Gorsuch, Neil M.","Associate Justice of the Supreme Court","Trump",115,"WQ"
"03/21/17","Thapar, Amul R.","Sixth Circuit","Trump",115,"WQ"
"1/10/91","Goldberg, Richard W.","Court of International Trade","H.W. Bush",102,"Q"
"1/10/91","McGregor, James R.","USDC: Western District of Pennsylvania","H.W. Bush",102,"Q"
"1/10/91","Ryskamp, Kenneth L.","Eleventh Circuit","H.W. Bush",102,"WQ/Q"
"1/10/91","Wanger, Oliver W.","USDC: Eastern District of California","H.W. Bush",102,"WQ"
"1/11/95","Folsom, David","USDC: Eastern District of Texas","Clinton",104,"WQsm/Qmin"
"1/11/95","Heartfield, Thad","USDC: Eastern District of Texas","Clinton",104,"WQsm/Qmin"
"1/11/95","Lynch, Sandra Lea (MA)","First Circuit","Clinton",104,"WQ"
"1/11/95","Snodgrass, John D.","USDC: Northern District of Alabama","Clinton",104,"Q"
"1/11/95","Stein, Sidney H.","USDC: Southern District of New York","Clinton",104,"WQ"
"1/11/95","Thornburg, Lacy Herman","USDC: Western District of North Carolina","Clinton",104,"WQsm/Qmin"
"1/12/2016","Ong, Winfield D.","USDC: Southern District of Indiana","Obama",114,"Q"
"1/12/2016","Schott, Donald K.","Seventh Circuit","Obama",114,"WQ"
"1/12/2016","Selby, Myra","Seventh Circuit","Obama",114,"Q"
"1/15/03","Altonaga, Cecilia M.","USDC: Southern District of Florida","W. Bush",108,"Q"
"1/15/03","Drell, Dee D.","USDC: Western District of Louisiana","W. Bush",108,"WQ"
"1/15/03","Minaldi, Patricia H.","USDC: Western District of Louisiana","W. Bush",108,"Q"
"1/16/07","Smith, Norman Randy (ID)","Ninth Circuit","W. Bush",110,"WQ"
"1/16/14","Bough, Stephen R.","USDC: Western District of Missouri","Obama",113,"Qsm/NQmin"
"1/16/14","Boulware, Richard F., II","USDC: District of Nevada","Obama",113,"Qsm/NQmin"
"1/16/14","Mendoza, Salvador, Jr.","USDC: Eastern District of Washington","Obama",113,"Qsm/NQmin"
"1/16/14","Yandle, Staci Michelle","USDC: Southern District of Illinois","Obama",113,"Q"
"1/20/04","Diamond, Paul S.","USDC: Eastern District of Pennsylvania","W. Bush",108,"WQ"
"1/20/04","Harwell, Robert Bryan","USDC: District of South Carolina","W. Bush",108,"Q"
"1/20/04","Schiavelli, George P.","USDC: Central District of California","W. Bush",108,"WQ"
"1/20/10","Butler, Louis Bennett Jr. (see endnote)","USDC: Western District of Wisconsin","Obama",111,"WQ"
