"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","ABA_Rating","President","Congress"
"","","","","H.W. Bush",101
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",101
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",101
"2/28/89","Fernandez, Ferdinand F. (CA)","Ninth Circuit","WQ","H.W. Bush",101
"2/28/89","Rymer, Pamela Ann (CA)","Ninth Circuit","EWQm/WQmin","H.W. Bush",101
"2/28/89","Bonner, Robert C.","USDC: Central District of California","WQsm/Qmin","H.W. Bush",101
"2/28/89","Harmon, Melinda","USDC: Southern District of Texas","Q","H.W. Bush",101
"8/4/89","Cyr, Conrad K. (ME)","First Circuit","WQ","H.W. Bush",101
"8/4/89","Garbis, Marvin J.","USDC: District of Maryland","Q","H.W. Bush",101
"8/4/89","Smith, Rebecca Beach","USDC: Eastern District of Virginia","Q","H.W. Bush",101
"9/7/89","Walker, Vaughn R.","USDC: Northern District of California","Qm/WQmin","H.W. Bush",101
"9/12/89","Plager, S. (Sheldon) Jay (IN)","Federal Circuit","Qsm/WQmin","H.W. Bush",101
"9/13/89","Nelson, Edwin Levon","USDC: Northern District of Alabama","Q","H.W. Bush",101
"9/13/89","Van Bebber, George Thomas","USDC: District of Kansas","WQ","H.W. Bush",101
"9/21/89","Walker, John M. Jr. (NY)","Second Circuit","WQ","H.W. Bush",101
"9/21/89","Lindberg, George W.","USDC: Northern District of Illinois","Qsm/NQmin","H.W. Bush",101
"9/21/89","Wright, Susan Webber","USDC: Eastern/Western District of Arkansas","Q","H.W. Bush",101
"10/23/89","Nottingham, Edward Willis Jr.","USDC: District of Colorado","WQ","H.W. Bush",101
"10/25/89","Spatt, Arthur D.","USDC: Eastern District of New York","WQ","H.W. Bush",101
"10/31/89","Thomas, Clarence (VA)","DC Circuit","Q","H.W. Bush",101
"","","","","H.W. Bush",101
"DATE","NAME OF","COURT TO WHICH","","H.W. Bush",101
"NOMINATED","NOMINEE","NOMINATED","","H.W. Bush",101
"10/31/89","Lodge, Edward J.","USDC: District of Idaho","Q","H.W. Bush",101
"11/9/89","Rosen, Gerald E.","USDC: Eastern District of Michigan","Qsm/NQmin","H.W. Bush",101
"11/9/89","Lee, Donald J.","USDC: Western District of Pennsylvania","WQ","H.W. Bush",101
"11/17/89","Barksdale, Rhesa H. (MS)","Fifth Circuit","WQsm/Qmin","H.W. Bush",101
"11/17/89","Wiener, Jacques L. Jr. (LA)","Fifth Circuit","WQ","H.W. Bush",101
"11/17/89","Buckwalter, Ronald Lawrence","USDC: Eastern District of Pennsylvania","WQ","H.W. Bush",101
"","","","","H.W. Bush",101
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",101
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",101
"1/24/90","Clevender, Raymond C. III (DC)","Federal Circuit","Qsm/WQmin","H.W. Bush",101
"1/24/90","Lourie, Alan D. (PA)","Federal Circuit","WQsm/Qmin","H.W. Bush",101
"1/24/90","Souter, David H. (NH)","First Circuit","WQ","H.W. Bush",101
"1/24/90","Hood, Joseph M.","USDC: Eastern District of Kentucky","Qsm/NQmin","H.W. Bush",101
"1/24/90","McClure, James F. Jr.","USDC: Middle District of Pennsylvania","WQ","H.W. Bush",101
"1/24/90","McKenna, Lawrence M.","USDC: Southern District of New York","Q","H.W. Bush",101
"1/24/90","Martin, John S. Jr.","USDC: Southern District of New York","WQ","H.W. Bush",101
"1/24/90","Rainey, John D.","USDC: Southern District of Texas","WQ","H.W. Bush",101
"1/24/90","Singleton, James K.","USDC: District of Alaska","WQ","H.W. Bush",101
"1/24/90","Nickerson, William M.","USDC: District of Maryland","WQ","H.W. Bush",101
"1/24/90","Sparr, Daniel B.","USDC: District of Colorado","WQ","H.W. Bush",101
